"last_name, first_name","player_id","year","ab","pa","hit","walk","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_caught_stealing","r_total_stolen_base","b_ab_scoring","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_run","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","r_total_pickoff",""
"Grisham, Trent","663757","2023","469","555","93","75",".198",".352",".315","0.667","3","15","118","3","0","0","67","14","1","0","2",
"Candelario, Jeimer","600869","2023","505","576","127","53",".251",".471",".336","0.807","1","8","106","1","0","0","77","8","0","0","1",
"Hoerner, Nico","663538","2023","619","688","175","49",".283",".383",".346","0.729","7","43","139","7","0","0","98","34","9","0","1",
"Carroll, Corbin","682998","2023","565","645","161","57",".285",".506",".362","0.868","5","54","118","3","2","0","116","42","12","0","0",
"Santander, Anthony","623993","2023","591","656","152","55",".257",".472",".325","0.797","1","5","128","1","0","0","81","5","0","0","0",
"Smith, Will","669257","2023","464","554","121","63",".261",".438",".359","0.797","0","3","142","0","0","0","80","3","0","0","1",
"Swanson, Dansby","621020","2023","565","638","138","66",".244",".416",".328","0.744","1","9","150","1","0","0","81","8","1","0","1",
"Arozarena, Randy","668227","2023","551","654","140","80",".254",".425",".364","0.789","10","22","154","9","1","0","95","19","3","0","3",
"McNeil, Jeff","643446","2023","585","648","158","39",".270",".378",".333","0.711","0","10","129","0","0","0","75","9","1","0","0",
"Walker, Christian","572233","2023","582","661","150","62",".258",".497",".333","0.830","0","11","157","0","0","0","86","11","0","0","0",
"Arraez, Luis","650333","2023","574","617","203","35",".354",".469",".393","0.862","2","3","106","2","0","0","71","2","1","0","0",
"Olson, Matt","621566","2023","608","720","172","104",".283",".604",".389","0.993","0","1","149","0","0","0","127","1","0","0","0",
"Rosario, Amed","642708","2023","510","545","134","29",".263",".378",".305","0.683","2","15","137","2","0","0","70","14","1","0","0",
"Hays, Austin","669720","2023","520","566","143","38",".275",".444",".325","0.769","1","5","133","1","0","0","76","5","0","0","0",
"Rodriguez, Julio","677594","2023","654","714","180","47",".275",".485",".333","0.818","10","37","167","9","1","0","102","31","5","1","2",
"McMahon, Ryan","641857","2023","555","627","133","68",".240",".431",".322","0.753","5","5","131","4","1","0","80","4","1","0","1",
"Ohtani, Shohei","660271","2023","497","599","151","91",".304",".654",".412","1.066","6","20","101","5","1","0","102","15","5","0","3",
"Betts, Mookie","605141","2023","584","693","179","96",".307",".579",".408","0.987","3","14","120","1","1","1","126","14","0","0","0",
"Cronenworth, Jake","630105","2023","458","522","105","46",".229",".378",".312","0.690","1","6","109","1","0","0","54","5","1","0","0",
"Rooker Jr., Brent","667670","2023","463","526","114","49",".246",".488",".329","0.817","0","4","114","0","0","0","61","4","0","0","0",
"Ramirez, Jose","608070","2023","611","691","172","73",".282",".475",".356","0.831","6","28","156","6","0","0","87","26","1","1","3",
"Lowe, Nathaniel","663993","2023","623","724","163","93",".262",".414",".360","0.774","0","1","174","0","0","0","89","1","0","0","0",
"Bogaerts, Xander","593428","2023","596","665","170","56",".285",".440",".350","0.790","2","19","141","2","0","0","83","12","6","1","2",
"Benintendi, Andrew","643217","2023","562","621","147","52",".262",".356",".326","0.682","2","13","93","2","0","0","72","11","2","0","1",
"Suzuki, Seiya","673548","2023","515","583","147","59",".285",".485",".357","0.842","7","6","138","6","1","0","75","5","1","0","0",
"Alonso, Pete","624413","2023","568","658","123","65",".217",".504",".318","0.822","1","4","148","1","0","0","92","4","0","0","1",
"Torres, Gleyber","650402","2023","596","672","163","67",".273",".453",".347","0.800","6","13","115","5","1","0","90","9","3","1","1",
"Nootbaar, Lars","663457","2023","426","503","111","72",".261",".418",".367","0.785","1","11","92","1","0","0","74","9","2","0","0",
"Smith, Dominic","642086","2023","527","586","134","47",".254",".366",".326","0.692","1","1","120","1","0","0","57","0","1","0","1",
"Tatis Jr., Fernando","665487","2023","575","635","148","53",".257",".449",".322","0.771","4","29","130","2","2","0","91","21","7","1","4",
"Semien, Marcus","543760","2023","670","753","185","72",".276",".478",".348","0.826","3","14","143","3","0","0","122","13","1","0","0",
"Happ, Ian","664023","2023","580","691","144","99",".248",".431",".360","0.791","3","14","144","2","0","1","86","13","1","0","1",
"Lindor, Francisco","596019","2023","602","687","153","66",".254",".470",".336","0.806","4","31","136","3","1","0","108","23","7","1","2",
"Taveras, Leody","665750","2023","511","554","136","35",".266",".421",".312","0.733","4","14","135","3","1","0","67","10","4","0","1",
